recency,frequency,weather_active,surge_multiplier,treatment,discount_value,converted,true_prob
7,20,1,2.23,2,0.2,1,0.807
8,3,0,1.39,0,0.0,0,0.101
12,17,0,1.16,2,0.2,1,0.6440000000000001
25,3,1,2.18,0,0.0,0,0.0
21,2,0,1.18,0,0.0,0,0.0
4,2,0,1.08,0,0.0,0,0.132
14,16,0,1.23,2,0.2,0,0.5770000000000001
24,13,0,1.32,2,0.2,0,0.37999999999999995
19,17,0,1.32,2,0.2,0,0.5580000000000002
12,2,0,1.15,0,0.0,0,0.04500000000000004
3,5,1,2.35,0,0.0,0,0.23499999999999996
26,10,0,1.08,1,0.1,0,0.2860000000000001
13,15,0,1.09,2,0.2,0,0.561
21,6,0,1.09,0,0.0,1,0.121
27,20,0,1.12,2,0.2,1,0.618
24,15,0,1.09,2,0.2,0,0.45100000000000007
7,2,0,1.06,0,0.0,0,0.10400000000000001
1,1,0,1.06,0,0.0,1,0.124
17,6,0,1.25,0,0.0,0,0.14500000000000002
6,16,0,1.24,2,0.2,1,0.656
9,1,0,1.21,0,0.0,0,0.029000000000000026
3,7,0,1.33,1,0.1,0,0.31700000000000006
5,9,0,1.28,1,0.1,1,0.382
8,4,1,2.11,1,0.1,1,0.21100000000000002
22,3,0,1.09,0,0.0,0,0.0
7,3,0,1.23,2,0.2,0,0.223
19,8,0,1.32,1,0.1,0,0.244
4,3,0,1.02,0,0.0,0,0.17800000000000002
24,17,0,1.23,2,0.2,1,0.5170000000000001
25,10,1,2.2,1,0.1,0,0.28
26,17,1,1.64,2,0.2,1,0.556
28,7,0,1.32,1,0.1,0,0.16000000000000003
28,2,0,1.23,0,0.0,0,0.0
22,11,0,1.21,1,0.1,0,0.327
20,15,0,1.06,1,0.1,1,0.4940000000000001
28,5,0,1.03,0,0.0,0,0.016999999999999987
22,16,0,1.37,2,0.2,0,0.4830000000000001
5,14,0,1.04,1,0.1,0,0.606
21,7,0,1.19,1,0.1,0,0.21500000000000002
10,19,0,1.34,2,0.2,1,0.726
27,20,0,1.16,2,0.2,1,0.614
